time,station,pm25,lat,lon,pm25_3km,tmp,rh,hpbl,wspd,pop,road_den_1km,prim_road_len_1km,near_dist,bareland,builtup,cropland,grassland,treecover,water,ndvi,aod
2018-02-19,201,22.33333333,10.783057,106.700606,19.29000092,26.13191991,79.53988802,636.2786132,2.826283856,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.911780417
2018-02-20,201,22.91666667,10.783057,106.700606,20.20000076,25.59524407,74.03735424,593.6625306,3.01063486,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.390663683
2018-02-21,201,22.30434783,10.783057,106.700606,18.32999992,25.70853985,80.15996611,611.4066544,2.442709843,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-22,201,25.70833333,10.783057,106.700606,18.60000038,26.5732672,76.70851766,703.4113909,3.22342239,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-23,201,30.125,10.783057,106.700606,21.94000053,26.64421985,77.38525385,652.665791,2.021758097,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-24,201,28.41666667,10.783057,106.700606,27.61000061,26.52846727,71.33532683,539.0851671,2.975075304,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.006519914
2018-02-25,201,34.16666667,10.783057,106.700606,29.09000015,26.10345768,71.7573658,611.3457377,2.596759899,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.037870288
2018-02-26,201,40.16666667,10.783057,106.700606,22.23999977,26.03025053,69.68118155,571.9159931,2.465926703,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-27,201,41.39130435,10.783057,106.700606,45.43999863,26.45883619,75.26127174,536.3418534,1.921753604,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-28,201,32.625,10.783057,106.700606,23.72999954,26.71198423,79.23970944,408.187069,1.294867747,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
